id,content
29,Não gostei dos filmes recomendados.
74,Caso não levasse em consideração o desejo e preferências da pessoa questionada.
89,Quando não levassem em consideração os gêneros que eu mais avaliei
92,Justas!
109,"Acho que poderia ter mais uma filtragem, menos opções no final, eu sou indecisa ter dez filmes ainda é difícil pra mim escolher kkk"
128,"Nenhum, pois achei todas juntas e diferentes"
129,"Achei injusta por ter poucas opções de filmes para avaliar no início, acabou tento poucos filmes que realmente gosto."
148,Não consegui compreender a pergunta!
207,Teve alguns que não assisti
208,"Não considerei as opções de escolha desse sistema injusta, inclusive uma boa parte das recomendações eu já tinha assistido, achei bem eficaz."
211,Justa.Em um momento de indecisão
258,"São justas quando escolhem filmes parecidos dos quais eu assisto e são injustos por mostrarem apenas filmes mais famosos, sendo que existem filmes latinos ou turcos, por exemplo, com temáticas parecidas, só que pouco conhecidos."
275,"Formas justas é entregar tanto filmes de grandes orçamento quanto de pouco orçamento,mesmo sendo talvez menos conhecido."
292,Justas quando recomenda filmes e gêneros de filmes que gosto de assistir. Injusta quando recomenda filmes que não tem a menor possibilidade de assistir.
295,Para o meu perfil os filmes de terro e suspense.
340,Injusta se tiver empresa interessada em determinado filme.
341,"Achei justas as escolhas de filmes recomendada, pois levou em consideração minhas preferências."
342,"Com base na avaliação prévia desta pesquisa, achei justa as recomendações feitas pela IA."
349,"Consideraria injusta se fugisse totalmente das informações que IA coletou minhas, e não tivesse nada a ver com o que consumo. 

Em geral, se for sugestãos que acrescente ainda mais naquilo que já gosto de consumir, facilitaria demais e seria ótimo."
431,"As recomendações foram justa, apesar de 90% dos filmes serem filmes q eu já assisti, seriam filmes q eu escolheria caso estivesse procurando aleatoriamente. Mas a única coisa q pra mim foi fora do padrão e q a maioria dos filmes recomendados, forma filmes bem conhecidos."
432,Acho que são injustas quando as recomendações não são boas ou não sou o perfil da pessoa
479,Seria injusto que as recomendações só ocorram para filmes de grandes produtoras ou muito hypados
422,"Não achei injustas, só que das 10 recomendações, 8 eu já havia assistido."
423,Não acredito que o algoritmo seja injusto.
424,Eu achei as recomendações bem justas! E amaria ter um site ou app desse para me ajudar quando quisesse escolher um filme! Achei bem prestativo.
1301,Quase Todos os filmes sugeridos eu já assisti então as recomendações foram justas sim
1332,Injusto recomendar filmes que já tinha marcado que assisti
494,.
614,"Achei que as opções foram bem variadas, em cima dos meus filmes antes avaliados, o que torna as recomendações justa. Seria injusto se fosse selecionando como recomendações apenas uma temática de filme."
541,"Achei as escolhas justas, estilos de filmes que eu gosto muito de assistir. Não seria justa se aparecesse opções de filmes que não se encaixam ao meu gosto. Inclusive as recomendações foram muito boas, tanto que somente um dos recomendados eu não havia assistido ainda."
632,seriam injustas caso as recomendações de filmes não combinassem com os gêneros que avaliei.
633,"Provavelmente se eu escolhesse mais opções de animações ou romances e recebesse somente recomendações de filmes de ação ou drama, provavelmente eu acharia injusto a seleção de filmes."
640,Só avaliei uma animação na primeira fase da pesquisa e recomendaram várias. De resto achei as recomendações bem de acordo com os filmes que avaliei melhor (suspenses e dramas).
674,"Recomendar todos os filmes de uma franquia de uma vez não me pareceu efetivo, pois, se já assisti um e gostei provavelmente verei os outros. Isso Tira a possibilidade de recomendar outros filmes do mesmo gênero que talvez eu não conheça."
629,"Eu consideraria uma recomendação justa quando se leva em consideração não apenas a preferência pessoal, mas também estado de ânimo da pessoa no momento da procura, pois por mais que eu goste de filme de ação e aventura, as vezes quero assistir uma comédia no estilo ""minha mae é uma peça"". O psicológico da pessoa sempre vai tender de um lado ou de outro quando se está procurando algo pra comer por quê o mesmo não vale pra quando se quer assistir algo?"
643,Torna-se injusto quando não leva em consideração o gosto do telespectador nas primeiras perguntas
719,"Algumas recomendações realmente são compatíveis com minhas preferências, já outras nao"
737,Injustas se fossem mais filmes indicados de gêneros que não marquei.
738,Em casos que eu não tenha marcado a opção de algum filme e se aparecesse algo que não gosto.
1298,"Injustas se eu avaliasse um filme de forma negativa e, viesse a ser recomendado para mim filmes sinônimos a ele."
722,"As recomendações seriam injustas se não considerassem o meu gosto pessoal. Como foram geradas com base nos filmes que já assisti e avaliei positivamente, foram indicações justas."
866,"Foram justas, levando em consideração que a IA me recomendou filmes da mesma franquia, além de e oferecer outras versões antigas do mesmo filme e me indicou um filme que sempre julguei ser clichê, mas ao ler a sinopse mudei de ideia rapidamente. Hoje vou encerrar o meu dia assistindo ""O diário de uma paixão"".

É incrível como a IA pode tomar decisões e me recomenar filmes que tenha um dos períodos que mais gosto de estudar, II Grande Guerra."
867,"Não entendi a pergunta, confusa"
815,Injustas se recomendar apenas um gênero de filme . E justa se houver uma ampla diversidade de opções.
846,Justa pois é o nosso gosto q é refletido mas em vários casos esseas inteligências excluam as menores produções
847,"Seriam injustas se não levassem em conta minhas preferências, mas eu gostei bastante das recomendações que me deram."
926,Os filmes selecionados foram adequados ao meu gosto. A maioria dels eu ja havia visto.
927,Eu não assisti a maioria dos filmes recomendados.
930,"Nao tenho uma opinião formada da sobre isso porque nunca usei, essa foi minha primeira experiencia e gostei bastante, as escolhas pra mim foi bem nos filmes que eu gosto por causa dos meu filhos pequenos, apesar de ja ter assistidos todos que o sistema me apresentou . Mas gostei da experiência."
933,"Eu acho injusta porque se baseia em único seguimento de gênero. Não ter gostado de um filme de suspense específico, não significa que eu não goste de suspense. E eu ter gostado de um filme de comédia, não significa que eu gosto de todos os filmes de comédia. As opções de escolha no início eram bem limitaras e eu não conhecia vários."
936,Injusta
983,"Estou satisfeita pelos filmes apresentados, me deixando, inclusive, com muita vontade de assistir os filmes sugeridos."
998,"Injustas quando me recomendou muitos filmes da mesma série de filmes, no caso do velozes e furiosos, por presumir que por ter assistido um filme da franquia gostaria de assistir outros filmes da mesma franquia, contudo me recomendou os filmes anteriores do que eu classifiquei.
Justo quando me recomendou filmes do gênero que eu demonstrei interesse, mas filmes com baixo investimento, então pouco conhecidos mas dentro do estilo indicado."
1031,"Acho injusta, em questão de não ter tantas opções, pois eu posso gostar de um gênero de filme mas não gostar do que apareceu pra colocar nota."
1066,"Como um todo achei as recomendações boas, tanto é que já havia assistido algumas das recomendações"
1085,"Achei justas as recomendações, afinal estavam de acordo com lá filmes que avaliei no comeco"
1086,"Eu penso que o algoritmo entende o gosto das pessoas e pode sim funcionar da melhor forma possível porque ele me deu boas opções. Porém, todas as opções que ele recomendou foram referentes a um único gênero de filmes, mesmo eu tendo escolhido outros também. Sua escolha foi baseada na maior porcentagem do mesmo gênero que eu classifiquei. Eu não pesquisei por nenhum, e sim, procurei os 7 primeiros que estavam no catálogo que eu já tivesse assistido. Senti que o algoritmo podia levar também em consideração os outros gêneros ou até mesmo o tipo de assunto abordado em cada filme votado."
1032,Baseado nas minhas pesquisas
1047,Consideraria injustas se os filmes recomendados não se encaixassem nas minhas preferências
1103,"Acredito que seria uma forma justa de proceder com algoritmos se eles fossem solicitados para atuação, porém, quando consentimos e aceitamos os termos de uso de vários sites e aplicativos damos a liberdade de esses algoritmos trabalharem por si só. Então, não acho correto a mídia afirmas que esses algoritmos são injustos quanto ao aparecimento de recomendações ou propagandas relacionadas as mossas pesquisas e interesses."
1393,.
1104,"O algoritmo me recomendou filmes conhecidos e poucos deles eram atuais, é injusto não recomendar filmes menos conhecidos e mais atuais."
1121,"Justa quando você seleciona os gêneros que quer assistir e ele tem entrega o que você pediu, injusta quando você perde um certo tempo marcado e no final ele tem entrega nada com nada. Não é que a gente queria que o sistema de a resposta perfeita mas sim a que mais se aproxima do que a gente quer."
1128,Acho injusta a recomendação de filmes que já estão em alta ou são amplamente divulgados pela mídia.
1220,Não sei
1175,Não acho que sejam justas ou injustas.
1237,"Acredito que como se trata de filmes relacionados a gostos e gêneros não teria um grande problema pois as únicas situações injustas com inteligência artificial que eu me deparei na internet foram sobre questões raciais onde o banco de dados só estava relacionado a mais pessoas brancas do que uma melanina mais escura. Ou seja tudo depende de como essas inteligências foram programadas para serem usadas. A ideia de ter uma inteligência que recomende filmes baseado no seus gostos é bem bacana, muitas pessoas não tem ideia do querem assistir ou casos que querem conhecer filmes novos mas não sabem quais opções vão gostar e acabam desistindo, portanto é uma excelente alternativa."
1267,Não gostei muito das opções
1271,Não entendi
1277,Filmes e sugestões que fogem dos meus interesses pessoais..
1266,"Injustas seriam somente filmes famosos por exemplo, gosto muito de terror e grande parte das vezes os algoritmos ja existentes tem tendencia a mostrar filmes mais famosos e deixa de lado alguns filmes menos famosos que são muito bons, principalmente os que nao sao americanos ou ingleses"
1268,"Concordo com o gênero, porém os filmes são bons não"
1274,"As recomendações seriam injustas caso dependessem do orçamento do filme para serem feitas, ou seja, quanto maior o orçamento maior a recomendação."
1453,Quando ele gera recomendações que são totalmente difentes do meu gosto pessoal.
1471,Não sei responder a tal pergunta.
1472,"Apesar de assistir filmes de terror, não são o meu gênero preferido, então teria que ter mais opções de gêneros diferentes"
2797,Consideraria injustas se me indicassem filmes totalmente diferentes do que avaliei ou que me indicasse filme semelhantes ao que avaliei mal
2803,"Considero injusta no caso do filme ""Crepúsculo "" onde avaliei todos os outros filmes da franquia e me foi recomendado o único que não foi avaliado anteriormente, mas mesmo assim não considero como uma recomendação ruim."
1452,"Me atendeu em todos casos, achei sensacional e acho que beneficiária muito."
1468,Muitos dos filmes recomendados eram sequencia dos filmes selecionados ou do mesmo estúdio. Gostaria de ter visto mais filmes com a mesma pegada mas nao necessariamente relacionado.
1491,"Não gosto de filmes de terror extremo. E nesse caso seria injusto quando marquei muitos filmes de desenho. Mas em geral, as recomendações foram justas e boas."
1492,"Um dos filmes que avaliei foi Era do gelo 3, e o algoritmo me indicou Era do Gelo 1, não é totalmente injusto, mas entende-se ser uma sequência de filmes, se eu assistir o 3, a possibilidade de já ter assistimos o 1 e 2 é muito grande."
1515,"Recomendações justas na minha opinião seria:por razão de ser o mesmo diretor, ator-atriz principal,categoria.

Recomendações injustas seria se forem em base de popularidade em redes sociais em geral, arrecadação em bilheterias."
1518,Injustas = quando só é recomendado filmes recém lançados
1538,"Se apenas um gênero fosse recomendado não seria justo. Acredito que abrir o leque de opções é uma boa ideia, tanto para mim quanto para o sistema que me recomenda"
1539,Quando o sistema for totalmente imparcial aos meus gostos. Acredito que isso seria um problema desde que meu gosto seja totalmente distorcido e acabo tendo que optar por filmes que não assistiria.
1519,Acho que as recomendações podem ser injustas quando feitas com base no orçamento da produção ou em que tenha um elenco famoso.
1542,"A maior parte dos filmes recomendados não são tão conhecidos, por isso, não foi possível avaliar tão bem se a recomendação foi boa ou não. Ademais, algumas perguntas são difíceis de responder tendo em vista que os filmes não foram vistos. Mas achei a proposta muito boa e utilizaria novamente!"
1561,Na minha opinião os filhos são justa
1620,Seriam justas desde que não se baseassem em critérios desonestos
1665,"Consideraria injusta se não fosse abrangente aquilo que eu procuro, caso contrário pra mim seria justo."
1666,Não sei como opinar
1713,"Ao meu ver o grande problema de se basear em na inteligência artificial o tempo inteiro é que ele vai acabar limitando as suas opções e ficando difícil de conhecer novos gêneros e filmes mas ao mesmo tempo não acho isso injusto pois somente alguém muito ligado a essa indústria iria se sentir prejudicado, a grande maioria da população não se importa com isso, só quer chegar em casa depois de um dia longo de trabalho e ver um filme, se a própria IA facilita essa escolha ao meu ver é um grande benefício pois os mesmos não querem perder muito tempo para escolher um filme."
1714,.
1715,Nos casos onde seria recomendado filmes repetidos e que não façam parte do meu perfil e preferência
1720,Já havia assistido
2800,Se recomendassem apenas um tipo específico de filmes poderia ser problemático por outro lado seria bom para quem se prende na mesma coisa o tempo todo.
2820,"Muitas vezes esses algoritmos podem nos influenciar sem que percebemos, mas algumas vezes podem trazer alguns benefícios"
2821,"Essa seleção é injusta,pois o algoritmo acaba excluindo opções interessantes e ""privando"" a possibilidade de conhecer algo além das preferências."
2857,"Nenhuma, o sistema indicou bons filmes, que com certeza eu assistiria"
1767,"Uma recomendação injusta seria se os filmes indicados não tivessem mesmo gênero, por exemplo, dos filmes que havia selecionado anteriormente.
Achei a seleção muito justa, pois manteve meus gostos - tanto que algumas recomendações eu já assisti."
1784,"Acho injusto filmes de baixo orçamento não serem indicados, parece que só filmes indicados ao oscar são merecedores de ser vistos..."
1804,Quando recomenda sequências. Por exemplo kill bill 2 ou sobrenatural 2. Isso ja e algo que provavelmente eu vou procurar para assistir. É melhor me recoemndar coisas q eu nem sei e conheço e provavelmente vou gostar...como outros filmes do mesmo diretor
1807,"Caso tivessem me indicado filmes baseado apenas em um estilo selecionado, como por exemplo se tivessem indicado somente animação.. é importante variar assim como foi feito aqui."
